name,address,wifi
外食家 くじら 北中城店,沖縄県中頭郡北中城村仲順443-1,あり
沖縄料理 琉球むら,千葉県成田市花崎町736 開運ビル3F-5,あり
狸の気ばらし,北海道札幌市厚別区厚別中央３条５－２－１２,なし
博多もつ鍋 じろう桜,沖縄県那覇市松山１－６－１８　美人ビル１F,あり
日本酒×串焼き 亜炉麻 aroma,沖縄県那覇市おもろまち４-9-10　ブギービル２F,あり
ちょこっと寿し 国際通り牧志店,沖縄県那覇市牧志２-7-24 セゾン宝ビル2F,あり
龍泉 ラゾーナ川崎店,神奈川県川崎市幸区堀川町７２‐１　ラゾーナ川崎プラザ４Ｆ,なし
炭火焼肉 BISTRO 山城牛,沖縄県那覇市松山１－５－１　ナムラプラザ１Ｆ,あり
バル コラボ 那覇新都心,沖縄県那覇市おもろまち４-6-17 おもろパークテラス　2F,あり
T's style Coffee 那覇新都心店,沖縄県那覇市おもろまち４-2-8 TSUTAYA新都心店内,あり
焼肉 はせ川,沖縄県那覇市久茂地１-4-1,なし
地酒炭火焼 ちちり,沖縄県那覇市おもろまち４-8-7 1F,あり
おBAR 喜瀬店,沖縄県名護市喜瀬１８４－１,なし
HUB ハブ 久茂地店,沖縄県那覇市久茂地３－１１－１７－３Ｆ ,あり
焼肉きんぐ 一日橋店,沖縄県島尻郡南風原町字兼城下茂原499-2,なし
うまい魚と炭火焼き酒場 まてつ 久茂地店,沖縄県那覇市久茂地３－９－６森家ビル１F,あり
PaPa's Kitchin パパズキッチン,沖縄県沖縄市高原４-15-12 三幸ビル　1F,なし
